timestamp,title,excerpt
23 April 2025,"No, sunglasses do not raise the risk of sunburn—but exposure to the sun does, and it can cause cancer",There’s no evidence to support two false claims from a health influencer. Read more…
4 April 2025,"No, cinnamon is not ‘the best remedy in the world' to treat diabetes",An Instagram video claims that a “cinnamon ritual” can be used instead of conventional medicine to control blood sugar. Read more…
3 April 2025,"No, mRNA vaccines don’t ‘genetically alter humanity’","Familiar vaccine misinformation resurfaces in a Facebook video, which claims that mRNA vaccines change people’s genes. There is no factual basis for this claim. Read more…"
3 April 2025,"No, Donald Trump hasn’t called for Skittles to be banned",A video seemingly showing the US president calling for a ban on Skittles and the red food colouring carmine is a deepfake. Read more…
31 March 2025,"No, doctors are not going to jail for trying to cure cancer",Viral posts falsely claim it’s illegal for doctors to advise patients on cancer cures. Read more…
18 March 2025,"No, Pfizer CEO did not say it planned to halve the world’s population",A video of the company’s CEO has been altered to make it sound like he announced plans to reduce the world’s population by 50%. Read more…
14 March 2025,"Keir Starmer has abolished NHS England, not the NHS itself","The quango that makes decisions about the NHS in England has been abolished, but the NHS still exists. Read more…"
12 March 2025,Wes Streeting overstated the number of people on the NHS waiting list under the Conservatives,"There were actually 6.4 million people on the NHS England waiting list last July, not 7.6 million as the health secretary claimed last month. That was the number of cases. Read more…"
6 March 2025,The Covid-19 virus does exist,A post on Instagram features a woman making incorrect claims about the existence of Covid-19. Read more…
27 February 2025,"No, graphene oxide is not in San Pellegrino water",A misleading video of an ‘experiment’ claiming to reveal graphene oxide in sparkling water has resurfaced online. Read more…
21 February 2025,A Covid vaccine made with HIV protein was trialled but never rolled out,"A viral clip from a BBC documentary shows that an HIV protein was used in a Covid vaccine trial, but fails to mention the vaccine itself was scrapped soon afterwards. Read more…"
14 February 2025,Covid-19 does exist and germs can cause disease,A post circulating on Instagram features a woman making incorrect claims about Covid-19 and germs Read more…
13 February 2025,How severe is the pressure on the NHS this winter?,Full Fact looks at what the data says about how A&E departments and the ambulance service have performed this winter. Read more…
10 February 2025,Bill Gates did not write an article about using ‘forced vaccines’ for depopulation,We can find no evidence that Mr Gates has written or said anything about reducing the population with forced vaccines. Read more…
31 January 2025,What is hMPV and how widespread is it in the UK?,We’ve seen lots of claims about human metapneumovirus (hMPV) in recent weeks. This explainer looks at what we know about it. Read more…
16 January 2025,Bovaer has not been found to reduce cattle fertility at the approved dose,"A claim that the manufacturer of Bovaer has invested in a synthetic meat company is true, but there’s no evidence the feed additive reduces the fertility of cows at approved doses. Read more…"
9 January 2025,5G has not been shown to be harmful,Claims about the dangers of 5G technology are not supported by available scientific evidence. Read more…
17 December 2024,Gregg Wallace did not post promising to ‘uncover the truth’ about cow food additive Bovaer,An image apparently showing a post on X from the TV presenter has been edited. Read more…
13 December 2024,Health secretary’s claims on smoking aren’t supported by the evidence,The health secretary is wrong to say most smokers will never be able to quit. Read more…
12 December 2024,The UK government hasn’t classified all porridge as ‘junk food’,There is a two-stage process for defining a “less healthy” food or drink product. Although porridge is “in scope” of the legislation it would also have to score highly on the Nutrient Profiling Model. Read more…
5 December 2024,Is milk from cows fed Bovaer safe?,"The methane-reducing cow feed additive is considered safe by food safety authorities in the approved doses. And contrary to some claims online, Bill Gates was not involved in its development. Read more…"
29 November 2024,Margarine isn’t ‘one molecule away’ from plastic,Margarine doesn’t share 27 ingredients with paint and isn’t one molecule away from plastic. Read more…
29 November 2024,Viral list of ‘patents on viruses’ fact checked,"An image shared on social media with claims it shows a list of patent numbers for viruses such as H1N1 flu, Zika virus and SARS is not quite what it seems. Read more…"
27 November 2024,Viruses are real and you can ‘catch’ them,"Despite claims to the contrary, viruses are real and have been sequenced many times. Read more…"
27 November 2024,"No, Pfizer’s CEO did not say his company’s  goal was to halve the global population",A video of Albert Bourla speaking has been edited to make it sound as if Pfizer wants to depopulate the world. Read more…
27 November 2024,Citric acid is not hidden in food to ‘poison’ the population,"Almost 2,000 people have shared a post suggesting there is a plot to lower the “population’s vitality” by hiding citric acid “poison” in food. Read more…"
5 November 2024,Celsius energy drink does not contain dangerous levels of cyanide,A clip of an influencer incorrectly describing the risks from energy drinks has resurfaced online. The original video appears to have been deleted. Read more…
5 November 2024,The NHS doesn’t ‘gobble up’ 40% of total public expenditure,"About 18% of total public expenditure goes to health, though health accounts for almost 40% of day-to-day departmental budgeted spending. Read more…"
29 October 2024,How much are we spending on health?,Our quick explainer on the state of UK health spending helps put the Autumn 2024 Budget in context. Read more…
25 October 2024,Coriander is not a reliable treatment for heavy metal toxicity,Several posts claim that studies prove that coriander removes varying percentages of heavy metals from the body. This is not the case. Read more…
23 October 2024,Weight loss drug trial isn't being funded with public money,"The five-year tirzepatide trial is being funded in full by a pharmaceutical company called Lilly, not the taxpayer. Read more…"
22 October 2024,Microwaves are safe if used properly,A video warning against microwaves falsely claims that they are killing people because they ‘pull everything out of the food’ and all the waves get inside your body and damage cells Read more…
15 October 2024,NHS England report on waiting lists confuses patients and cases,"An interactive report available on the NHS England website claims to show the number of patients awaiting treatment, but uses figures for the number of cases instead. Read more…"
11 October 2024,UKHSA posts graphs based on non-existent data,Graphs showing “data for 2023-24” posted by the UKHSA on X aren’t actually based on real data. Read more…
10 October 2024,NHS England corrects waiting list data error,The health service acted quickly after Full Fact brought its attention to a mistake in the calculation of the number of people on the waiting list. Read more…
7 October 2024,£1.7 billion isn’t really the right figure for the total cost of NHS strikes,"It doesn’t include the junior doctors’ strikes in the summer of 2024, and the overall cost would include a range of other factors. Read more…"
3 October 2024,Childhood vaccines aren’t ‘poison’,"Despite claims on social media, vaccines are generally a safe and effective way to protect children from potentially fatal diseases. Read more…"
1 October 2024,Fenbendazole is not a proven treatment for cancer in people,"Claims of a cheap cancer cure resurfaced on social media, but fenbendazole is not a recognised treatment for cancer. Read more…"
30 September 2024,Guardian corrects article about GPs refusing to give prostate cancer tests to black men,"A poll from Prostate Cancer Research asked black people about “you or a loved one”, so we can’t say it tells us about their own experiences of prostate cancer testing. Read more…"
30 September 2024,How many people were treated in Covid-19 Nightingale hospitals?,There is some confusion online regarding the Nightingale hospitals and how many people they treated during the pandemic. Read more…
27 September 2024,Nurofen tablets do not contain graphene oxide,A video circulating on social media claims to use magnets to prove the pain relief tablets contain graphene oxide. Read more…
26 September 2024,Having high cholesterol is not better for your health,"There are different types of cholesterol, some of which increase the risk of cardiovascular disease. Statins reduce this risk. Read more…"
26 September 2024,"Was Keir Starmer right to claim agency staff cost the NHS ‘£5,000 a shift’?","The government hasn’t said what data his claim was based on, but he may have been referring to figures from a Labour party FOI request in 2022. Read more…"
23 September 2024,Bill Gates-funded company did not cause malaria ‘outbreak’ in the US,Mosquitoes released by a company which has received funding from the Bill & Melinda Gates Foundation in Florida cannot transmit malaria. Read more…
12 September 2024,Why suicide data can lead us astray,It’s easy to misunderstand the data on suicides in England and Wales—especially when it comes to long-term comparisons or recent trends. Read more…
11 September 2024,How does revenue from tobacco duties compare to the cost of smoking to the NHS?,Tobacco duties generate around four to five times as much money as smoking costs the NHS to treat. Read more…
10 September 2024,Blair Institute report did not recommend closing most GP surgeries,"The report recommended that NHS England develop a new contract which would help GP practices serve a patient population of around 250,000. Read more…"
5 September 2024,Scientists have not discovered that ‘autism can be reversed’,"A US study published in June was limited in scope, and experts say autism cannot be reversed, or cured. Read more…"
30 August 2024,Mpox isn’t misdiagnosed shingles,"A video has been widely shared on social media, in which a German doctor claims that shingles cases are being wrongly diagnosed as mpox. Read more…"
30 August 2024,UV light does not ‘heal eyes’,Extended UV exposure can damage people’s eyes. And castor oil is not a recommended treatment to improve vision. Read more…
29 August 2024,No evidence WHO has ordered preparation for mpox ‘mega lockdowns’,A screenshot of a headline circulating online falsely claims that World Health Organisation chiefs have ordered preparation for lockdowns over an mpox strain. Read more…
28 August 2024,"NHS diversity officers don’t all make £96,000","The starting salary for an NHS diversity officer in England seems to be around £25,000. Read more…"
20 August 2024,Mpox isn’t in the Covid vaccine,Mpox is not an ingredient in AstraZeneca’s Covid-19 vaccine. Read more…
16 August 2024,Mpox has nothing to do with the Covid-19 vaccines,Mpox is caused by the monkeypox virus. It is not a side effect of vaccination. Read more…
16 August 2024,"Benefits claims for autism and ADHD have not increased by 200,000","Contrary to claims in the Telegraph, benefits claims for under-18s with autism and ADHD have not increased by 200,000 since Covid. Read more…"
15 August 2024,Vaccines are not ‘poison’,Vaccines are tested and monitored to a much higher standard than most other medicines. Read more…
9 August 2024,Paint is not being put in cereal,"Trisodium phosphate is a chemical that is present in many products, including some cereals. Read more…"
9 August 2024,Conservatives wrong to claim GPs are striking for first time in 60 years,An X post by the Conservative party  wrongly suggests GPs are striking for the first time in 60 years. Read more…
2 August 2024,No good evidence that ‘banned’ substances reliably destroy cancer cells in humans,There is not enough evidence for cannabis oil as a treatment for cancer. B17 can be toxic and also has not been shown to be an effective treatment for cancer. Read more…
2 August 2024,GP industrial action is not the first in 60 years,"The last time GPs as a group took collective action was 1964, but some GPs took part in industrial action over pensions in 2012. Read more…"
31 July 2024,Study does not show that the Pfizer Covid-19 vaccine causes cancer,An online post claims that a study has shown that the Pfizer vaccine causes cancer. That’s not the case. Read more…
26 July 2024,Doctor makes misleading Covid vaccine claims on Diary of a CEO podcast,"On Steven Bartlett’s popular podcast, Dr Aseem Malhotra claimed there would have been fewer deaths without Covid-19 vaccines. Read more…"
25 July 2024,Promotion for oximeter not endorsed by NHS hospital,A video promoting an oximeter that was supposedly developed by Guy’s and St Thomas’ NHS Foundation Trust is actually false. Read more…
16 July 2024,GP patient list has not increased by 6.4 million since 2019,NHS data shows the number of patients registered in England has increased by about half this figure in the last five years. Read more…
15 July 2024,NHS performance: how do the four nations compare?,"The NHS is run separately in England, Scotland, Wales and Northern Ireland. For  a few measures, we can look at their data side-by-side to see some differences between them. Read more…"
9 July 2024,Fake video touts 10-day cure for diabetes,There is currently no known cure for diabetes. Read more…
2 July 2024,What would two million more appointments a year mean for the NHS?,Labour has promised to add two million more hospital appointments on evenings and weekends if it wins the general election. But how much difference would that make? Read more…
25 June 2024,NHS staffing: explained,Full Fact covers the basic things you need to know about the people who work for the NHS. Read more…
25 June 2024,Viral US breast cancer stats misinterpreted,"The statistics are estimates and in some cases show several age groups, not just women under 45. Read more…"
18 June 2024,We can’t say what proportion of Scots are on NHS waiting lists,"Scottish Labour, the Scottish Conservatives and the Scottish Liberal Democrats have claimed about a seventh of all Scots are waiting for treatment or tests. Read more…"
7 June 2024,No good evidence for numerous claims about energy drinks,"There is no evidence that Prime Energy increases the risk of Alzheimer’s, or that Sugar Free Monster contains dangerous levels of caffeine. Sugar Free Red Bull no longer contains aspartame. Read more…"
24 May 2024,Labour campaign video doesn’t accurately reflect NHS waiting list data,There are about 7.5 million cases on the main NHS England waiting list—but only about 6.3 million people waiting. Some people are waiting for more than one thing. Read more…
23 May 2024,Out-of-date warning on NHS data circulates again,Warnings urging patients to opt out of an NHS data sharing plan are out of-date. Read more…
22 May 2024,A deadly virus is not sweeping through Spain,There is no good evidence that an “Ebola-like” virus is surging across Europe. Read more…
20 May 2024,It’s misleading to say 100 studies were not included in the Cass Review,"The review on youth gender medicine did consider all the relevant studies, although almost all were assessed to provide only low- or moderate-quality evidence. Read more…"
20 May 2024,There were treatment waits longer than 18 weeks in 2010,"The number of cases waiting more than 18 weeks for NHS England treatment has soared in the last 14 years, but it wasn’t zero when the Conservatives took office. Read more…"
14 May 2024,New cancer jab is not a ‘gene changer’,There is no good evidence that mRNA vaccines give people cancer. Read more…
14 May 2024,NHS England measles figure causes confusion over encephalitis risk,"A charity’s claim that 10,000 children could develop encephalitis as a result of catching measles is based on an incorrect NHS estimate for the number of “unprotected” children. Read more…"
3 May 2024,No evidence that lab-grown meat causes ‘turbo-cancer’,There’s no evidence that eating meat made from immortalised cells causes cancer in humans. Read more…
2 May 2024,ONS data doesn’t show four Covid vaccine doses raise risk of death,This is based on official data that warns against drawing comparisons in this way. Read more…
19 April 2024,A ministerial mistake is on the Parliamentary record—but was it due to an editing mix-up?,Comments about children’s mental health services from the health secretary Victoria Atkins have been changed in Hansard to make them clearer—but also clearly not correct. Read more…
19 April 2024,NHS waiting lists: what you need to know,Our regularly updated guide to NHS waiting lists and waiting times. Read more…
15 April 2024,BBC Breakfast gets the increase in people waiting for NHS treatment wrong,"Figures quoted by presenter Naga Munchetty last week refer to the number of cases, not people. Read more…"
12 April 2024,Do we know which nation is happiest with the NHS?,Claims on NHS satisfaction from both the Conservatives and Labour weren’t quite as simple as they seemed. Read more…
12 April 2024,Company owned by Sunak's in-laws hasn't been given a multi-billion pound NHS contract,The largest NHS IT contract ever awarded was £330 million and was not awarded to Infosys. Read more…
11 April 2024,The NHS England waiting list was effectively stable in February,"Although the number of cases awaiting non-emergency treatment in England technically fell by about 36,000, about 36,000 cases were also excluded from the data. If measured consistently, it would have Read more…"
10 April 2024,There was no rise in the stillbirth risk in the US in 2021,"The rate actually fell slightly, according to official data. Read more…"
8 April 2024,Only one area in England has seen a 79% increase in four-week waits for a GP,Across England as a whole the overall increase was 38%. Read more…
3 April 2024,HPV vaccines have been shown to be safe and effective,"They have been proven to be very effective at reducing the risk of some cancers in later life, and a large body of evidence shows that they are safe. Read more…"
28 March 2024,Japan has not banned mRNA Covid-19 vaccines,These remain available in the country. Read more…
27 March 2024,"The Gates Foundation did not paralyse 300,000 children in India",There is no evidence to support this at all. Read more…
26 March 2024,Iceland has not banned Covid-19 vaccines,Covid-19 vaccines are still available in Iceland Read more…
22 March 2024,Most junior doctors have not had a 10% pay rise,"Although the basic pay of first-year doctors in England did rise by that much last year, most junior doctors had a pay uplift of less than 10%. Read more…"
21 March 2024,Israel doesn’t have highest skin cancer rate outside Australasia,"Many other countries have higher rates than Israel, according to WHO figures. Read more…"
14 March 2024,You do not inhale a credit card’s worth of microplastic every week,This misunderstanding traces back to a scientific paper that said no such thing. Read more…
11 March 2024,NHS England was wrong to claim its data showed 3.4 million children are ‘unprotected’ against measles,It seems the health service actually calculated that 3.4 million children might have missed at least one vaccine dose. Read more…
6 March 2024,More confusion over how many people are waiting for NHS treatment,"Claims that 7.6 million people are waiting for treatment have resurfaced, but that's the number of courses of treatment people in England are waiting for, with some people waiting for more than one. Read more…"
29 February 2024,Junior doctors do not earn £140 in ten hours,"This was about the hourly rate of basic pay only, for first-year doctors only, last year. Read more…"
27 February 2024,Raw milk doesn’t make it easier to digest lactose,"It may also contain harmful pathogens, so people with weaker immune systems are advised not to consume it. Read more…"
21 February 2024,The NHS Covid-19 app didn’t cost £37 billion,"An old myth that the NHS Covid app cost £37 billion has resurfaced. In fact, that’s the budget for the first two years of the entire Test and Trace programme. Read more…"
6 February 2024,Health committee posts incorrect stat about doctors’ union membership,"About 60% of NHS consultants in England are BMA members, not the 40% that the committee’s post on X claimed. Read more…"
31 January 2024,Rishi Sunak wrong to say 18-week waits have fallen since pledge,"The Prime Minister may have meant to say in a Telegraph article that waits of 18 months have fallen, which they have. Read more…"
31 January 2024,Measles is a potentially dangerous disease,"Between 10% and 20% of cases result in complications, even in the developed world. Read more…"
30 January 2024,A German court did not rule that the measles virus doesn’t exist,"A famous case in the 2010s concerned whether proof had been provided in ‘a single publication’, not whether measles itself existed. Read more…"
29 January 2024,Covid-19 vaccines don’t alter your DNA,Many Facebook posts have falsely described the vaccines as ‘DNA altering technology’. Read more…
26 January 2024,"Labour claim of 4,000 drop in GP numbers is not reliable","A claimed cut of 4,000 GPs in a Labour party briefing document seems to rely on a comparison between two different datasets, which the NHS itself says should not be compared. Read more…"
25 January 2024,Bim Afolami overstates NHS in England as a share of ‘everything the government spends’,"It seems that the Treasury minister made a common mistake by expressing NHS England as a percentage of all budgeted spending, not public spending as a whole. Read more…"
15 January 2024,BBC corrects article claiming 5% measles vaccination rate,No local authority in the West Midlands has a measles vaccine uptake lower than about 75% on any measure—although this remains well below the target. Read more…
11 January 2024,Viral graphic gets details of ‘becoming a doctor’ wrong,"People become doctors when they complete their medical degrees, at which point they start work on a basic salary of just over £32,000. Read more…"
9 January 2024,Sunak wrong to claim October’s waiting list improvement followed a pause in strikes,"There was a fall in the NHS England waiting list in October—but it followed three days of strikes by junior doctors, consultants and specialty doctors earlier in the month. Read more…"
5 January 2024,How much do junior doctors earn?,"First-year junior doctors earn about £15.53 an hour in basic pay only—but the average junior doctor earned at least about £44,500 in the year to September 2023. Read more…"
22 December 2023,Coughing does not protect you during a heart attack,People having a heart attack should call an ambulance immediately. The idea that they should cough to protect themselves is a common myth that’s been spreading for more than 20 years. Read more…
22 December 2023,NHS waiting list was not falling before the pandemic,"Oliver Dowden said that the numbers waiting for elective care in England were falling ‘on many measures’ before the pandemic. We’re not sure which measures he means. On the main measure, they were not Read more…"
20 December 2023,Covid vaccines are still available in Iceland,"The country has not banned Covid vaccines, despite claims on social media saying it has. Read more…"
12 December 2023,Methylene chloride is not an ingredient in the sweetener Acesulfame K,"The chemical is used during the manufacturing process, but the FDA found no methylene chloride in samples of Acesulfame K that it tested, and said it does not expect it to be present. Read more…"
6 December 2023,Was Boris Johnson right to dispute Covid Inquiry evidence on excess deaths?,"Pandemic deaths in the UK were indeed among the worst in western Europe as the Inquiry had heard—but also about in the middle, by the standards of Europe as a whole, as Mr Johnson said. Read more…"
30 November 2023,Turpentine is not a treatment for sepsis—it is poisonous when swallowed,"Dr Andrew Kaufman, a US psychiatrist, has claimed that turpentine can be used as a treatment for sepsis. It cannot, and may cause harm if ingested. Sepsis must be treated with antibiotics urgently. Read more…"
30 November 2023,No graphene oxide in Pfizer’s Covid-19 vaccine,The substance was used as a tool to study a sample during the vaccine’s development. It is not an ingredient in the vaccine itself. Read more…
28 November 2023,Widespread confusion over number of ‘people’ on NHS waiting lists,"The latest figures show there are 7.8 million cases waiting for planned treatment in England—but only 6.5 million people, because some are waiting for more than one thing. Read more…"
22 November 2023,Myocarditis after Covid vaccines doesn’t kill one in five,A video of a man talking to a pharmacist about myocarditis has resurfaced on social media. Claims in the video about the mortality rate of the condition are incorrect. Read more…
20 November 2023,Around 6.5 million patients in England on hospital waiting lists,Shadow chancellor Rachel Reeves seems to have mistaken the number of treatments waiting to begin with the number of individuals awaiting treatment. Read more…
20 November 2023,Covid-19 vaccines did not kill 30 people at one clinic in New Zealand,This claim comes from an activist who supplied no supporting evidence. It is contradicted by data on deaths published by the New Zealand government. Read more…
15 November 2023,Instagram post lacks vital context about Covid deaths among the vaccinated,"Virtually all the most vulnerable people are vaccinated against Covid, so most of the people who die of it are too. Read more…"
15 November 2023,Google snippets falsely claimed eating glass has health benefits,The search engine highlighted text that appeared to be AI-generated false information published online as an example of an AI ‘hallucination’. Read more…
10 November 2023,English maternity services rated worse on safety specifically than overall,The Mirror and BBC Radio reported a figure on official maternity ratings without clarifying that it referred to safety specifically. Read more…
9 November 2023,Smoking causes about one in four deaths from cancer,"Steve Barclay confused smoking’s share of cancer deaths with its share of cancer cases, in comments on the BBC and Sky. Read more…"
9 November 2023,Wes Streeting wrong to say a million more patients waiting than a year ago,The latest official data shows that about half a million more people are waiting for planned treatment in England. Labour used a less reliable figure for its comparison. Read more…
7 November 2023,Turmeric honey isn’t the “most powerful” antibiotic,Widely spread social media claims that turmeric and honey are the “most powerful” or “most potent” antibiotic significantly overplay the evidence on their action against bacteria. Read more…
7 November 2023,Are patients in Wales twice as likely to be on an NHS waiting list as those in England?,"The health secretary has not explained what his claim was based on, but the best comparable data we can find suggests those in Wales are around 60% more likely to be on a waiting list. Read more…"
3 November 2023,Health secretary to correct the record over maternity programme numbers,Steve Barclay claimed that there has been a 13% rise in midwifery programme starters since two years ago but this is based on an anticipated rise rather than an actual one. Read more…
2 November 2023,‘Get Covid and live longer’? Boris Johnson’s WhatsApp at Covid Inquiry fact checked,Most people dying of Covid in 2020 were over 80—but they also generally had years of life left. Read more…
1 November 2023,The Covid vaccines are not ‘poison’,"The benefits of Covid vaccination outweigh the risks for most people, and although mild side effects are common, serious ones are rare. Read more…"
31 October 2023,Fluoride levels in toothpaste aren’t toxic when used as directed,Videos claim fluoride in toothpaste causes calcium to build up in part of your brain. There is no convincing evidence for this. Read more…
30 October 2023,Onion skins aren’t effective treatments for prostatitis or UTIs,"An apparently AI-generated video claims a tea of onion skins will treat prostatitis and cure UTIs. It won’t. These conditions often need antibiotics, and sometimes become serious without them. Read more…"
25 October 2023,Age UK did not say that elderly suicides rose during lockdown,"A Telegraph article reported comments made during the Covid Inquiry, which inaccurately described the content of Age UK’s witness statement. Read more…"
25 October 2023,Is tooth decay the number one reason children are admitted to hospital?,Wes Streeting told the Labour conference that tooth decay was the number one reason children end up in hospital but this is only true of children aged five and over. Read more…
20 October 2023,Around a quarter of 10- to 11-year-olds are obese,"Suzanne Webb MP claimed in Parliament that 40% of those in this age group are obese, but her office says she meant to say “obese or overweight”. Read more…"
18 October 2023,Waiting lists can’t be compared through the whole history of the NHS,"Last week Sir Keir Starmer claimed that Labour achieved the shortest waiting lists “in history”, while Wes Streeting said it had delivered the shortest waiting times. Read more…"
