platform,type,keyword,video_id,title,description,upload_date,channel_name,channel_id,uploader_id,duration,view_count,url,label
youtube,shorts,cam kết khỏi bệnh,Z2Y3UCQ7bWw,"Căn Bệnh Thần Kinh Hay Gặp Nhưng Lại Dễ Nhầm Với Bệnh Tim Mạch, Bệnh Tiêu Hóa | SKĐS #shorts","SKĐS | Căn Bệnh Thần Kinh Hay Gặp Nhưng Lại Dễ Nhầm Với Bệnh Tim Mạch, Bệnh Tiêu Hóa
#roiloanthankinhthucvat #hoihoptrongnguc #huyetapthatthuong # huthoi #bunrunchantay #mohoitrom #bshoangoxy #oxycaoap 
Video được thực hiện bởi Bác sĩ Nguyễn Huy Hoàng - Trung tâm oxy cao áp Việt - Nga

Mời quý vị và các bạn xem thêm: 

🔆Nút SHARE của bạn giờ đây rất hữu ích 
--------------------
👍Báo Sức khỏe và Đời sống – Cơ quan ngôn luận của Bộ Y tế
🖥Website: http://suckhoedoisong.vn/
💻 FanPage: https://www.facebook.com/baosuckhoevadoisong/
💻Youtube: https://bit.ly/Baosuckhoevadoisong
💻Tiktok: https://bit.ly/3hOWND9

#skds #suckhoedoisong",2023-11-01,Báo Sức khỏe & Đời sống,UCD09NCZlzMj4yGvGkLbuBpw,@BaoSuckhoedoisongboyte,38,252817,https://www.youtube.com/watch?v=Z2Y3UCQ7bWw,medical_misinformation
youtube,shorts,chữa khỏi 100%,-qIAYFx50EM,CHỮA BỆNH TRĨ KHỎI HẲN 100% KHÔNG TÁI LẠI Cây Chữa Bệnh Chữa Bệnh trĩ nội trĩ ngoại  #Shorts#,"CÁC LOẠI CÂY CHỮA BỆNH TẠI VN CÂY CHỮA BỆNH SỨC KHỎE MỖI NGÀY CÂY THUỐC QUÝ CÂY CHỮA BỆNH #Shorts#
Quả Khổng Lồ Kênh Tổng Hợp Các Loại Quả Khổng Lồ các loại côn trùng động vật Khổng Lồ#Shorts#",2021-09-07,Tin Tổng Hợp Tin Mới Hàng Ngày,UCJT-A-5sTI1J7SwALfAkTGQ,@tintonghoptinmoihangngay5671,55,34300,https://www.youtube.com/watch?v=-qIAYFx50EM,medical_misinformation
youtube,shorts,chữa khỏi 100%,33sqrpvf99s,Mẹo Hết Nghẹt Mũi Chỉ Trong 10s Không Bao Giờ Tái Lại | Dược Sĩ Tống Đức #Shorts,"Chào mừng Quý anh chị và các bạn đã đến với kênh youtube chính thức của Dược Sĩ Tống Đức. 

Kênh Youtube là góc chia sẻ những kiến thức chăm sóc sức khỏe, sống khỏe, kiến thức y khoa, y dược nhanh nhất và chính xác nhất giúp cho cộng đồng có khả năng tự chăm sóc sức khỏe, điều trị và chữa các bệnh thường gặp hàng ngày.

Trong quá trình chia sẻ kiến thức về chăm sóc sức khỏe, sống khỏe, sử dụng các loại dược phẩm để điều trị và phòng chống bệnh lý sẽ có trường hợp không được phù hợp vì liên quan đến cơ địa, tình trạng giai đoạn của bệnh lý. 

Do vậy, quý khán giả theo dõi muốn biết chính xác tình trạng và giai đoạn bệnh lý của mình thì hãy đến cơ sở y tế gần nhất để khám và nhận được phác đồ điều trị phù hợp nhất.

Trong quá trình sản xuất nội dung Tống Đức rất mong nhận được các đóng góp của quý khán giả có chuyên môn (đồng nghiệp) và khán giả đang gặp tình trạng bệnh lý để Tống Đức và đội ngũ có thể ra được những nội dung chính xác và kịp thời cảnh báo đến cộng đồng cũng như hỗ trợ cá nhân khán giả đang gặp phải.

Theo dõi dược sĩ Tống Đức tại: 

👉 Youtube: https://bit.ly/3Azi4cy
👉 Tiktok: https://bit.ly/3Gxd4J7
👉 Facebook: https://bit.ly/3i1r6ID

Bản quyền thuộc về Leanup Media. 
Nguồn video: Sử dụng nguồn tổng hợp theo luật Fair use Youtube. Nếu bạn vẫn thấy vi phạm hãy liên hệ với quản trị kênh để giải quyết qua email: duchup64@gmail.com

#DuocSiTongDuc #sứckhỏe #sốngkhỏe# kienthucyduoc #duocsitongduc #TốngĐứctiktok #kiếnthứcykhoa #ChămSócSứcKhỏe #songkhoe #suckhoe",2021-12-03,DƯỢC SĨ TỐNG ĐỨC,UC1UCw4PDf0q4isk_d0Q0j9Q,@DuocSiTongDuc,27,422885,https://www.youtube.com/watch?v=33sqrpvf99s,medical_misinformation
youtube,shorts,chữa khỏi 100%,5-ziYXB8uKk,Trị mụn đầu đen bằng chanh #shorts,"💥 Linh Anh Academy tặng MIỄN PHÍ 10 SUẤT HỌC TRỰC TIẾP, để lại thông tin đăng ký tại: https://docs.google.com/forms/d/1Dl4TECBKi1a8q3giw0dfWQcxCZ4XpRykb3DK_EdojsU/edit
📌 Lưu ý: Link sẽ tự động đóng khi đủ số lượng học viên. Nhanh tay đăng ký hoặc nhắn tin về Fanpage để được giữ chỗ: https://m.me/daotaothammy.linhanh/
------------------------------------------------------

--------------------------------------------------------------
Mọi chi tiết về khóa học xin mời liên hệ:

⛳HỆ THỐNG ĐÀO TẠO THẨM MỸ QUỐC TẾ LINH ANH
📌Facebook: https://bom.so/fzjyXl
📌Messenger: https://m.me/daotaothammy.linhanh/
📌Website: https://linhanhacademy.edu.vn/
📌Youtube: https://bom.so/FVClLp
☎️ Hotline: 0905 399 666 - 0972623333
🔱 Địa chỉ cơ sở 1: KĐT Vạn Phúc 26 Đường Nguyễn Thị Nhung, Hiệp Bình Phước, Thủ Đức, Tp. HCM
🔱 Địa chỉ cơ sở 2: Số 1063 Cách Mạng Tháng 8 - Phường Chánh Nghĩa - Tp. Thủ Dầu Một - Bình Dương 
🔱 Địa chỉ cơ sở 3: 136 Hai Bà Trưng - Phường 6 - Tp. Đà Lạt
----------------.----------------.---------------
#hocspa
#hocthammy
#thammylinhanh",2022-09-20,Trường Đào Tạo Thẩm Mỹ Quốc Tế Linh Anh,UC4bjlVi3WaWh1w-GYvG1dvw,@truongaotaothammyquoctelin9044,24,121465,https://www.youtube.com/watch?v=5-ziYXB8uKk,medical_misinformation
youtube,shorts,chữa khỏi 100%,9plCiJl9tAI,Bác sĩ Lân cam kết chữa khỏi 100%,,2024-02-07,Lân Anh,UCyhPZPT7X9ZSQXo03xkyILg,@Bacsialan,38,273,https://www.youtube.com/watch?v=9plCiJl9tAI,medical_misinformation
youtube,shorts,chữa khỏi 100%,BR5_OUPJJNU,Bạn đã biết cách chữa mụn cóc hiệu quả tại nhà chưa,,2021-04-02,ASIA GROUP,UCvAtqmLOPWjCAFZ9xi-w8wA,@AsiaGroup115,41,97437,https://www.youtube.com/watch?v=BR5_OUPJJNU,medical_misinformation
youtube,shorts,chữa khỏi 100%,chữa khỏi 100%,chữa khỏi 100%,,,,,,,,ytsearch50:chữa khỏi 100%,medical_misinformation
youtube,shorts,chữa khỏi 100%,DLKxDWtq3_U,chữa khỏi 100%,,2021-03-30,đạt MIkenco,UC4zcX54wpDGEYvrxd-83JaA,@ngansut5970,13,101,https://www.youtube.com/watch?v=DLKxDWtq3_U,medical_misinformation
youtube,shorts,chữa khỏi 100%,fcguxGQQUx4,Tác Hại Từ Thuốc Trị Rối Loạn Cương Dương Là Gì? Bạn Đã Sử Dụng Đúng Cách? #shorts #menshealth,"Tác Hại Từ Thuốc Trị Rối Loạn Cương Dương Là Gì?
Cùng nghe Bác sĩ Phạm Hoàng Vũ - Trung Tâm Sức Khoẻ Nam Giới Men's Health chia sẻ.

Liên hệ hotline 0902 353 353 hoặc lnbox fanpage để được MIỄN PHÍ tư vấn, giải đáp thắc mắc từ chuyên gia nam khoa.
_______________________________
Trung tâm Sức khỏe Nam giới MEN’S HEALTH
🏠 7B/31 Thành Thái, P.14, Q.10, TP.HCM
☎️ 0902 353 353
🌐 menhealth.vn

#TrungTamSucKhoeNamGioi #MensHealth #BacSiNamKhoa #catbaoquydau #PhongKhamNamKhoaTPHCM
#Shorts",2022-06-15,Trung tâm sức khỏe Nam Giới Men's Health,UCauAKzdxRkcxYTr9cWkX6Rw,@trungtamsuckhoenamgioimens7985,31,13155,https://www.youtube.com/watch?v=fcguxGQQUx4,medical_misinformation
youtube,shorts,chữa khỏi 100%,Gga4jU7Fvj8,TOi cAm kẾt chỮA khỎi 100%  | By Cup,"Lần đầu shade mắt kiểu này :)
CÓ vẺ đƯỢc",2021-03-29,Cupi 🙈✨,UCWW-Z_jTOa_KVBJsy81os2Q,@cupi5559,16,166,https://www.youtube.com/watch?v=Gga4jU7Fvj8,medical_misinformation
youtube,shorts,chữa khỏi 100%,jAourxPmm4o,Chữa khỏi 100% nhe ae!,"Vitamin G# Girl xinh# Bổ mắt.
Xin chào mọi người đã đến với kênh Thuốc Bổ Cuộc Sống Cảm ơn mọi người đã xem video.
❤️💘 Hãy xem và đăng ký kênh Ủng hộ mình với mọi người. Để mình có động lực kiếm thuốc bổ cho mọi ngừoi hàng ngày ạ.
Xin cảm ơn!
💕❣️Hãy đăng ký kênh YouTube Thuốc bổ cuộc sống để xem nhiều video nhé!
https://youtube.com/channel/UCFLzGvefT_c7KSlE9eXEejw",2021-04-14,Thuốc bổ Cuộc sống,UCFLzGvefT_c7KSlE9eXEejw,@thuocbocuocsong2603,15,8,https://www.youtube.com/watch?v=jAourxPmm4o,medical_misinformation
youtube,shorts,chữa khỏi 100%,l1DHgpcBBCU,Tôi Cam Kết Chữa Khỏi 100%... Và Cái Kết Nhức Nách,Tôi Cam Kết Chữa Khỏi 100%... Và Cái Kết Nhức Nách,2021-03-31,Tik Tok Channel,UCZ94LSXSQSNhnmjnYxrZojg,@tiktokchannel2414,58,185,https://www.youtube.com/watch?v=l1DHgpcBBCU,medical_misinformation
youtube,shorts,chữa khỏi 100%,nk8mwPkpJK4,Trị Chấy (Chí) Hết 100% Không Tốn Tiền #shorts,"☘️  ĐTT Thuỷ xin chào các bạn
Trị Chấy (Chí) Hết 100% Không Tốn Tiền #shorts
1.Cách trị chấy (chí) bằng hạt và muối
2.Cách trị chấy (chí) bằng chanh và muối
3.Cách trị chấy (chí) bằng giấm và muối
4. Cách trị chấy (chí) bằng rượu và muối
5. Cách trị chấy (chí) bằng nước ép cá chua và muối
-Cách làm như sau:
Bạn dùng hỗn hợp này bôi lên tóc, để khoảng 15 – 20 phút rồi gội sạch đầu với nước. Bạn có thể lặp lại 2 đến 3 lần để đạt hiệu quả hơn. 
Chúc các bạn thành công

☘️  Thuỷ muốn chia sẽ với các anh chị em những bài thuốc dân gian trong cuộc sống hằng ngày. Đôi khi những bài thuốc dân gian rất hiệu qủa mà chúng bỏ quên trong cuộc sống hiện đại ngày nay.

Cám ơn các bạn đã xem video!
================================
+ Nếu các bạn thích video này, hãy để nhấn like, share và để lại comment.
+ Hãy nhấn SUBSCRIBE/ĐĂNG KÝ tại: https://www.youtube.com/channel/UC-hU62bRsYC-kpftMiV5H0g ngay để theo dõi những video mới nhất từ Thủy nha
+ Thủy cảm ơn rất nhiều
===============================
Chi tiết liên hệ:
YOUTUBE ĐTT Thủy:  https://www.youtube.com/channel/UC-hU62bRsYC-kpftMiV5H0g
❤️ Email: dttthuy79@gmail.com
❤Facebook: https://www.facebook.com/doanthithuthuybd/
#trịchí #trịchấy #ĐTT-Thủy",2021-07-23,ĐTT Thủy,UC-hU62bRsYC-kpftMiV5H0g,@ĐTTThuỷ,15,71572,https://www.youtube.com/watch?v=nk8mwPkpJK4,medical_misinformation
youtube,shorts,chữa khỏi 100%,o0F8RTFpxkQ,cách trị mụn đầu đen cực hiệu quả #duongda #lamdeptainha #goclamdep #trimun,,2022-07-25,Dâu Tây Channel,UCOk5ucAFxW8JxjOM-5Rd5OA,@dautaychanel4935,18,459591,https://www.youtube.com/watch?v=o0F8RTFpxkQ,medical_misinformation
youtube,shorts,chữa khỏi 100%,O9XBFWmlCLo,Cách trị sâu răng bằng tỏi,,2022-08-28,Hai Tran,UCSAHy00qyHT5gVdKs2W_Hog,@HaiTran-dh6pw,48,228048,https://www.youtube.com/watch?v=O9XBFWmlCLo,medical_misinformation
youtube,shorts,chữa khỏi 100%,tp9QWKnnpjg,tik tok - đại y chữa khỏi 100%,,2021-03-29,THNB,UCWsLCsWeJ5oc0rUt6PpoXOw,@thnb6043,22,173,https://www.youtube.com/watch?v=tp9QWKnnpjg,medical_misinformation
youtube,shorts,chữa khỏi 100%,uvNUzB6fejE,"Cam kết chữa khỏi, 100%",,2021-04-05,Thông tin hữu ích,UCN1tmfREGBrfZu9vtVyIl_A,@thongtinhuuich7187,40,132,https://www.youtube.com/watch?v=uvNUzB6fejE,medical_misinformation
youtube,shorts,chữa khỏi 100%,WaIUBVXZ1SA,Mẹo chữa nấc cụt mà ít người biết đến #shorts #xuhuong #trending #viral #drvitamin,"Chắc chắn tất cả mọi người đều đã bị nấc cụt rồi đúng không nào? Có một mẹo chữa nấc cụt mà rất ít người biết đến. Follow dr vitamin và cùng tìm hiểu nhé
Dr Vitamin - Chuỗi_siêu_thị_Vitamin_số_1_Việt_Nam 
☎️ Hotline: (+84)987.827.327
🌍 Website: https://drvitamin.vn
📧 Email: info@drvitamin.vn
📸 Instagram: drvitamin.vn",2023-04-05,Dr Vitamin,UCnM3eYKwzDm568xyRsMWyhw,@drvitamin2151,47,802890,https://www.youtube.com/watch?v=WaIUBVXZ1SA,medical_misinformation
youtube,shorts,chữa khỏi 100%,WsKiDgrTW7Y,"MUỐN SÁNG MẮT, HẾT CẬN THỊ THỬ NGAY CÁCH NÀY","👉 Số điện thoại tư vấn: 090.884.9669
👉 Liên hệ ZALO: https://zalo.me/0908849669
👉 Thông tin chi tiết: https://www.bscaocapnguyenbavuong.com/
MUỐN SÁNG MẮT, HẾT CẬN THỊ THỬ NGAY CÁCH NÀY
-----------------------------------------------------------------
***Lưu ý: tác dụng của thuốc, phương pháp điều trị có thể thay đổi tùy theo tình trạng thể chất người bệnh. Mọi thắc mắc vui lòng liên hệ với chuyên gia An Cốt Nam để có câu trả lời chính xác nhất với từng tình trạng bệnh lý. Liên hệ 
▪️ PHÒNG CHẨN TRỊ Y HỌC CỔ TRUYỀN TÂM MINH ĐƯỜNG 
Địa chỉ Hà Nội: 138 Khương Đình – Thanh Xuân – Hà Nội Giấy phép hoạt động: 595/SYT-GPHĐ 
▪️ PHÒNG CHẨN TRỊ Y HỌC CỔ TRUYỀN AN DƯỢC Sài Gòn: 325/19 đường Bạch Đằng, phường 15, quận Bình Thạnh, TP. Hồ Chí Minh 
Điện thoại/Zalo: 090.884.9669
-------------------------------------------
#sangmat #chuacanthi #ancotnam",2021-03-31,Sức Khỏe Xương Khớp,UC4u8xdrjM3wgZwYM8mcVpAw,@suckhoexuongkhop8780,41,168503,https://www.youtube.com/watch?v=WsKiDgrTW7Y,medical_misinformation
youtube,shorts,chữa khỏi 100%,ZAu1mzZiWI4,Vũ điệu tôi cam kết chữa khỏi 100% | trào lưu các cụ khiêu vũ,"Các cụ khiêu vũ, trends tôi câm kết chữa khỏi 100%",2021-04-09,Bonsai Vietnams,UC7bozzd9MItxJymwOItrHtg,@bonsaivietnams591,30,50,https://www.youtube.com/watch?v=ZAu1mzZiWI4,medical_misinformation
youtube,shorts,chữa khỏi 100%,ZNHrTUQlS_0,Tôi cam kết chữa khỏi 100% phần trăm - Vũ điệu bà già,,2021-03-30,NTD TV,UCr6ZfDRvmDwTcS_TNZGegxw,@ntdtv4105,22,2789,https://www.youtube.com/watch?v=ZNHrTUQlS_0,medical_misinformation
youtube,shorts,chữa khỏi 100%,Zu0IEHvu0PE,Chữa khỏi 100%,,2021-07-18,Khánh Toàn Bít TV PARODY,UCsX8S-GmUZDeQrVrt75Jt_A,@khanhtoanbittvparody7754,27,50,https://www.youtube.com/watch?v=Zu0IEHvu0PE,medical_misinformation
youtube,shorts,không tái phát,Cyz4_CdsfKw,"Sau khi đốt, sùi mào gà có TÁI PHÁT không? | Ths.Bs Trần Quốc Phong","Sùi mào gà là một bệnh lây truyền qua đường tình dục do virus human papilloma (HPV) ở người gây ra. Có nhiều chủng virus HPV khác nhau, trong đó, virus HPV loại 6 và 11 là 2 loại gây ra bệnh sùi mào gà ở nam giới và cả nữ giới. Cách điều trị phổ biến nhất tình trạng sùi mào gà là đốt sùi. Vậy, liệu việc đốt sùi mào gà có giúp điều trị dứt điểm tình trạng sức khỏe này hay không, hãy tìm hiểu ngay nhé #suimaoga #dotsui #benhtinhduc #dieutri #std #hpv #suckhoe #saigonmedicine #benhxahoi",2024-10-15,Saigon Medicine,UCLc0swcfGCRGW11FTrWcJEg,@saigonmedicine,48,10362,https://www.youtube.com/watch?v=Cyz4_CdsfKw,medical_misinformation
